scenario,part,trial,seed,n_decodes
S5,0,1527,579733734,0
S5,0,1528,1266196554,0
S5,0,1529,962255363,0
S5,0,152,1545491130,0
S5,0,1530,1308381122,0
S5,0,1531,637055232,0
S5,0,1532,277948817,0
S5,0,1533,257653974,1
S5,0,1534,254275260,0
S5,0,1535,81408494,0
S5,0,1536,727922576,0
S5,0,1537,1177097257,0
S5,0,1538,1465300656,1
S5,0,1539,609845747,0
S5,0,153,1677644483,0
S5,0,1540,1184465506,0
S5,0,1541,1059822720,0
S5,0,1542,409436843,0
S5,0,1543,1986045825,0
S5,0,1544,952335409,0
S5,0,1545,615875601,0
S5,0,1546,310883748,0
S5,0,1547,1987731535,0
S5,0,1548,1745751235,0
S5,0,1549,1943428965,0
S5,0,154,1010612071,0
S5,0,1550,1546948230,0
S5,0,1551,215227923,0
S5,0,1552,1306397346,1
S5,0,1553,1144050317,0
S5,0,1554,2081239987,0
S5,0,1555,1881983472,1
S5,0,1556,479481791,1
S5,0,1557,469494403,0
S5,0,1558,1049357804,0
S5,0,1559,444546120,0
S5,0,155,505786968,0
S5,0,1560,1104250250,0
S5,0,1561,848493825,0
S5,0,1562,537273948,0
S5,0,1563,2082946865,0
S5,0,1564,1237397477,1
S5,0,1565,1945015816,0
S5,0,1566,1831816554,0
S5,0,1567,1125035956,0
S5,0,1568,1611634347,0
S5,0,1569,1154334177,0
S5,0,156,2114728017,0
S5,0,1570,416749881,0
S5,0,1571,59406997,0
S5,0,1572,528675543,0
S5,0,1573,1156530818,1
S5,0,1574,1382532258,0
S5,0,1575,522954185,0
S5,0,1576,490974779,0
S5,0,1577,1878770503,0
S5,0,1578,1946231401,0
S5,0,1579,188040116,0
S5,0,157,1553066913,0
S5,0,1580,1292258624,1
S5,0,1581,1036897815,0
S5,0,1582,1908689271,1
S5,0,1583,911305862,1
S5,0,1584,425423797,0
S5,0,1585,219970921,0
S5,0,1586,439636180,0
S5,0,1587,1999303919,0
S5,0,1588,106287334,0
S5,0,1589,2138894233,0
S5,0,158,868384073,1
S5,0,1590,1822851408,0
S5,0,1591,763961500,0
S5,0,1592,1451633935,0
S5,0,1593,1281536356,0
S5,0,1594,2052408384,0
S5,0,1595,1128199607,0
S5,0,1596,156427634,0
S5,0,1597,1777004518,0
S5,0,1598,1606221347,0
S5,0,1599,2048724647,0
S5,0,159,1720913182,0
S5,0,1600,1679262946,0
S5,0,1601,900286672,0
S5,0,1602,1871113015,0
S5,0,1603,91416805,0
S5,0,1604,355258505,0
S5,0,1605,1531665228,0
S5,0,1606,672279016,0
S5,0,1607,905908203,0
S5,0,1608,931159088,0
S5,0,1609,300076906,0
S5,0,160,1405352455,0
S5,0,1610,1990200535,1
S5,0,1611,306757256,0
S5,0,1612,167991364,0
S5,0,1613,1335393705,0
S5,0,1614,480789915,0
S5,0,1615,551237889,0
S5,0,1616,370839493,0
S5,0,1617,1032572072,0
S5,0,1618,1741706612,0
S5,0,1619,534112632,0
S5,0,161,247261852,0
S5,0,1620,1734891215,0
S5,0,1621,29636823,1
S5,0,1622,211855150,0
S5,0,1623,420207193,0
S5,0,1624,1419314746,0
S5,0,1625,1472144525,1
S5,0,1626,1412051550,0
S5,0,1627,2115777045,0
S5,0,1628,591240911,0
S5,0,1629,672339389,0
S5,0,162,490229734,0
S5,0,1630,367593311,0
S5,0,1631,795999588,0
S5,0,1632,1606477930,0
S5,0,1633,1111744900,0
S5,0,1634,18536799,0
S5,0,1635,137389014,0
S5,0,1636,1393979051,0
S5,0,1637,1866049007,0
S5,0,1638,496340525,0
S5,0,1639,2099812160,0
S5,0,163,90738479,2
S5,0,1640,1191655483,0
S5,0,1641,436442655,0
S5,0,1642,1422787668,0
S5,0,1643,633587295,0
S5,0,1644,901790566,0
S5,0,1645,619496027,0
S5,0,1646,1270227530,0
S5,0,1647,388503859,0
S5,0,1648,2109720062,0
S5,0,1649,1817360472,1
S5,0,164,1140178635,0
S5,0,1650,960390383,0
S5,0,1651,1523934684,0
S5,0,1652,670045067,1
S5,0,1653,768852237,1
S5,0,1654,1670840576,1
S5,0,1655,881959829,0
S5,0,1656,51731889,1
S5,0,1657,1957153315,0
S5,0,1658,1254910246,0
S5,0,1659,1720895483,0
S5,0,165,826322857,0
S5,0,1660,171375266,0
S5,0,1661,2036991613,0
S5,0,1662,230241752,0
S5,0,1663,972524518,0
S5,0,1664,1841252672,0
S5,0,1665,833240558,0
S5,0,1666,195925160,1
S5,0,1667,426936314,0
S5,0,1668,557340263,0
S5,0,1669,1441998633,0
S5,0,166,1359630586,0
S5,0,1670,1996940852,0
S5,0,1671,1403875687,0
S5,0,1672,423950850,1
S5,0,1673,1026342563,0
S5,0,1674,746388682,0
S5,0,1675,366413091,0
S5,0,1676,1868889692,0
S5,0,1677,716153597,0
S5,0,1678,100262267,1
S5,0,1679,1042229740,0
S5,0,167,1185333218,1
S5,0,1680,354178541,0
S5,0,1681,65001729,0
S5,0,1682,400731207,0
S5,0,1683,1364476700,1
